file,lat,lon,me
data\obs_vs_mod\horaire\lat_43.641667_lon_5.513333_me_0.00.parquet,43.641667,5.513333,0.0
data\obs_vs_mod\horaire\lat_43.641_lon_6.1875_me_-0.00.parquet,43.641,6.1875,-0.0
data\obs_vs_mod\horaire\lat_43.645167_lon_6.797667_me_0.00.parquet,43.645167,6.797667,0.0
data\obs_vs_mod\horaire\lat_43.648833_lon_7.209_me_-0.01.parquet,43.648833,7.209,-0.01
data\obs_vs_mod\horaire\lat_43.653667_lon_6.9395_me_0.00.parquet,43.653667,6.9395,0.0
data\obs_vs_mod\horaire\lat_43.655_lon_-1.436667_me_0.00.parquet,43.655,-1.436667,0.0
data\obs_vs_mod\horaire\lat_43.655_lon_3.306167_me_-0.00.parquet,43.655,3.306167,-0.0
data\obs_vs_mod\horaire\lat_43.656667_lon_5.607_me_-0.00.parquet,43.656667,5.607,-0.0
data\obs_vs_mod\horaire\lat_43.658833_lon_6.471333_me_0.00.parquet,43.658833,6.471333,0.0
data\obs_vs_mod\horaire\lat_43.65_lon_2.45_me_-0.02.parquet,43.65,2.45,-0.02
data\obs_vs_mod\horaire\lat_43.663333_lon_3.563333_me_0.00.parquet,43.663333,3.563333,0.0
data\obs_vs_mod\horaire\lat_43.664167_lon_3.507833_me_0.01.parquet,43.664167,3.507833,0.01
data\obs_vs_mod\horaire\lat_43.665_lon_4.303333_me_-0.00.parquet,43.665,4.303333,-0.0
data\obs_vs_mod\horaire\lat_43.6675_lon_2.976167_me_-0.01.parquet,43.6675,2.976167,-0.01
data\obs_vs_mod\horaire\lat_43.668167_lon_6.105167_me_-0.01.parquet,43.668167,6.105167,-0.01
data\obs_vs_mod\horaire\lat_43.668667_lon_5.2865_me_0.01.parquet,43.668667,5.2865,0.01
data\obs_vs_mod\horaire\lat_43.677167_lon_2.873667_me_0.00.parquet,43.677167,2.873667,0.0
data\obs_vs_mod\horaire\lat_43.678667_lon_6.809_me_0.01.parquet,43.678667,6.809,0.01
data\obs_vs_mod\horaire\lat_43.683333_lon_7.328333_me_0.00.parquet,43.683333,7.328333,0.0
data\obs_vs_mod\horaire\lat_43.689333_lon_2.147667_me_0.01.parquet,43.689333,2.147667,0.01
data\obs_vs_mod\horaire\lat_43.689833_lon_-1.07_me_0.00.parquet,43.689833,-1.07,0.0
data\obs_vs_mod\horaire\lat_43.689_lon_0.601167_me_0.01.parquet,43.689,0.601167,0.01
data\obs_vs_mod\horaire\lat_43.691333_lon_6.843_me_0.00.parquet,43.691333,6.843,0.0
data\obs_vs_mod\horaire\lat_43.691667_lon_7.1_me_-0.01.parquet,43.691667,7.1,-0.01
data\obs_vs_mod\horaire\lat_43.693333_lon_4.568333_me_-0.00.parquet,43.693333,4.568333,-0.0
data\obs_vs_mod\horaire\lat_43.693667_lon_1.866167_me_-0.00.parquet,43.693667,1.866167,-0.0
data\obs_vs_mod\horaire\lat_43.695833_lon_3.170667_me_-0.02.parquet,43.695833,3.170667,-0.02
data\obs_vs_mod\horaire\lat_43.707_lon_3.3475_me_0.01.parquet,43.707,3.3475,0.01
data\obs_vs_mod\horaire\lat_43.708167_lon_7.055833_me_0.00.parquet,43.708167,7.055833,0.0
data\obs_vs_mod\horaire\lat_43.708333_lon_2.704167_me_-0.00.parquet,43.708333,2.704167,-0.0
data\obs_vs_mod\horaire\lat_43.708333_lon_5.903333_me_-0.01.parquet,43.708333,5.903333,-0.01
data\obs_vs_mod\horaire\lat_43.714833_lon_4.171667_me_0.00.parquet,43.714833,4.171667,0.0
data\obs_vs_mod\horaire\lat_43.715_lon_5.206667_me_0.00.parquet,43.715,5.206667,0.0
data\obs_vs_mod\horaire\lat_43.718333_lon_3.866667_me_-0.00.parquet,43.718333,3.866667,-0.0
data\obs_vs_mod\horaire\lat_43.718833_lon_5.353_me_-0.01.parquet,43.718833,5.353,-0.01
data\obs_vs_mod\horaire\lat_43.725_lon_2.3555_me_-0.00.parquet,43.725,2.3555,-0.0
data\obs_vs_mod\horaire\lat_43.726333_lon_5.008_me_0.00.parquet,43.726333,5.008,0.0
data\obs_vs_mod\horaire\lat_43.731667_lon_5.345_me_-0.00.parquet,43.731667,5.345,-0.0
data\obs_vs_mod\horaire\lat_43.733333_lon_5.741667_me_-0.01.parquet,43.733333,5.741667,-0.01
data\obs_vs_mod\horaire\lat_43.734_lon_5.782667_me_0.00.parquet,43.734,5.782667,0.0
data\obs_vs_mod\horaire\lat_43.738667_lon_7.279167_me_0.01.parquet,43.738667,7.279167,0.01
data\obs_vs_mod\horaire\lat_43.738833_lon_7.365833_me_-0.01.parquet,43.738833,7.365833,-0.01
data\obs_vs_mod\horaire\lat_43.745833_lon_-0.1775_me_0.01.parquet,43.745833,-0.1775,0.01
data\obs_vs_mod\horaire\lat_43.746667_lon_-0.115_me_0.03.parquet,43.746667,-0.115,0.03
