lat,lon,altitude
42.0655,9.2125,1057.7
42.0642,9.2427,1348.8
42.063,9.2728,801.3
42.0617,9.303,406.5
42.0604,9.3331,192.9
42.0591,9.3633,62.7
42.0578,9.3934,54.1
42.0565,9.4236,43.9
42.0552,9.4537,5.5
42.0539,9.4839,0.3
42.1089,8.6709,39.0
42.1078,8.7011,19.0
42.1067,8.7313,294.3
42.1056,8.7615,193.6
42.1045,8.7917,149.3
42.1034,8.8218,373.2
42.1022,8.852,275.1
42.1011,8.8822,332.8
42.0999,8.9124,360.5
42.0987,8.9426,620.3
42.0976,8.9728,817.3
42.0964,9.0029,673.8
42.0952,9.0331,688.3
42.094,9.0633,722.5
42.0928,9.0935,983.9
42.0916,9.1237,1565.6
42.0903,9.1538,1555.9
42.0891,9.184,1013.2
42.0879,9.2142,744.6
42.0866,9.2444,887.8
42.0854,9.2745,658.6
42.0841,9.3047,486.7
42.0828,9.3349,278.0
42.0815,9.365,98.9
42.0802,9.3952,79.0
42.0789,9.4254,61.5
42.0776,9.4555,29.7
42.0763,9.4857,12.4
42.1335,8.612,55.1
42.1324,8.6422,154.3
42.1313,8.6724,119.1
42.1302,8.7026,95.6
42.1291,8.7328,383.5
42.128,8.763,604.6
42.1269,8.7932,453.0
42.1257,8.8234,218.5
42.1246,8.8536,470.8
42.1235,8.8838,751.6
42.1223,8.914,658.9
42.1211,8.9442,463.2
42.12,8.9744,680.7
42.1188,9.0045,1046.5
42.1176,9.0347,1228.9
42.1164,9.0649,1389.4
42.1152,9.0951,1335.4
42.114,9.1253,1235.5
42.1127,9.1555,1506.2
42.1115,9.1857,1130.7
42.1103,9.2159,778.1
42.109,9.246,627.8
42.1077,9.2762,638.8
42.1065,9.3064,382.6
42.1052,9.3366,250.1
42.1039,9.3668,169.3
42.1026,9.3969,70.9
42.1013,9.4271,45.9
42.1,9.4573,26.6
42.0987,9.4875,10.4
42.0974,9.5176,8.5
42.157,8.5832,8.5
42.1559,8.6134,124.2
42.1548,8.6436,384.0
42.1537,8.6738,345.8
42.1526,8.7041,364.0
42.1515,8.7343,182.1
42.1504,8.7645,429.3
42.1493,8.7947,532.9
42.1481,8.8249,368.4
42.147,8.8551,850.8
42.1459,8.8853,1230.1
42.1447,8.9155,1137.7
42.1435,8.9457,1030.9
42.1424,8.9759,721.3
42.1412,9.0062,696.8
42.14,9.0364,928.1
42.1388,9.0666,1645.5
42.1376,9.0968,1889.5
42.1364,9.127,1165.2
42.1351,9.1572,1143.8
42.1339,9.1873,1235.6
42.1327,9.2175,861.7
42.1314,9.2477,997.8
42.1301,9.2779,745.9
42.1289,9.3081,389.7
42.1276,9.3383,410.0
42.1263,9.3685,263.6
42.125,9.3987,114.5
42.1237,9.4289,71.1
42.1224,9.4591,25.1
42.1211,9.4892,18.2
42.1198,9.5194,4.4
42.1184,9.5496,1.5
42.1794,8.5846,29.5
42.1783,8.6149,67.0
42.1772,8.6451,233.7
42.1761,8.6753,587.7
42.175,8.7055,736.8
42.1739,8.7358,344.8
42.1728,8.766,314.1
42.1717,8.7962,500.1
42.1705,8.8264,372.0
42.1694,8.8567,733.6
42.1683,8.8869,663.1
42.1671,8.9171,622.5
42.1659,8.9473,805.3
42.1648,8.9775,1046.8
42.1636,9.0078,1248.0
42.1624,9.038,1338.1
42.1612,9.0682,1503.9
42.16,9.0984,1282.4
42.1587,9.1286,997.7
42.1575,9.1588,841.2
42.1563,9.189,960.5
42.155,9.2192,1247.3
42.1538,9.2494,1077.2
42.1525,9.2796,494.6
42.1513,9.3098,585.8
42.15,9.34,511.3
42.1487,9.3702,297.8
42.1474,9.4004,109.1
42.1461,9.4306,54.9
42.1448,9.4608,46.2
42.1435,9.491,25.2
42.1421,9.5212,7.1
42.1408,9.5514,0.2
42.2018,8.5861,97.0
42.2007,8.6163,335.2
42.1996,8.6466,284.6
42.1985,8.6768,569.1
42.1974,8.707,787.4
42.1963,8.7373,527.3
42.1952,8.7675,535.4
42.1941,8.7977,840.9
42.1929,8.828,760.0
42.1918,8.8582,647.2
42.1907,8.8884,772.9
42.1895,8.9187,873.0
42.1883,8.9489,880.3
42.1872,8.9791,1031.7
42.186,9.0094,1270.2
42.1848,9.0396,1630.6
42.1836,9.0698,1429.6
42.1824,9.1,1339.3
42.1811,9.1303,1104.7
42.1799,9.1605,635.9
42.1787,9.1907,752.9
42.1774,9.2209,997.3
42.1762,9.2511,719.7
42.1749,9.2813,518.1
42.1737,9.3116,502.0
42.1724,9.3418,473.0
42.1711,9.372,273.4
42.1698,9.4022,111.0
42.1685,9.4324,69.2
42.1672,9.4626,51.4
42.1659,9.4928,40.8
42.1645,9.523,20.9
42.1632,9.5532,3.6
42.2242,8.5875,155.1
42.2231,8.6178,367.8
42.222,8.648,525.4
42.2209,8.6783,733.8
42.2198,8.7085,914.1
42.2187,8.7388,924.7
42.2176,8.769,814.8
42.2165,8.7993,936.9
42.2153,8.8295,1053.6
42.2142,8.8598,1147.8
42.2131,8.89,871.7
42.2119,8.9202,1367.2
42.2107,8.9505,1421.4
42.2095,8.9807,1673.7
42.2084,9.011,1935.5
42.2072,9.0412,2109.3
42.206,9.0714,2030.2
42.2048,9.1017,1427.5
42.2035,9.1319,1054.8
42.2023,9.1621,721.1
42.2011,9.1924,530.9
42.1998,9.2226,540.2
42.1986,9.2528,434.1
42.1973,9.2831,348.3
42.196,9.3133,412.6
42.1948,9.3435,262.9
42.1935,9.3737,336.5
42.1922,9.4039,209.8
42.1909,9.4342,109.8
42.1896,9.4644,82.5
42.1882,9.4946,64.1
42.1869,9.5248,24.0
42.2455,8.6192,169.1
42.2444,8.6495,366.7
42.2433,8.6798,701.3
42.2422,8.71,632.0
42.2411,8.7403,485.8
42.24,8.7705,688.9
42.2389,8.8008,739.0
42.2377,8.831,881.1
42.2366,8.8613,1050.8
42.2355,8.8916,1042.7
42.2343,8.9218,1415.5
42.2331,8.9521,1826.5
42.2319,8.9823,1629.2
42.2308,9.0126,1883.4
42.2296,9.0428,1793.7
42.2284,9.0731,1877.1
42.2272,9.1033,1990.3
42.2259,9.1336,1847.8
42.2247,9.1638,1011.9
42.2235,9.194,386.4
42.2222,9.2243,353.7
42.221,9.2545,264.6
42.2197,9.2848,283.2
42.2184,9.315,325.9
42.2172,9.3452,351.5
